rollout/ep_rew_mean,time/total_timesteps,rollout/success_rate,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/n_updates,train/loss,train/explained_variance,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/std,train/policy_gradient_loss,train/clip_fraction,train/value_loss
-7.405361917525774,32768,0.010309278350515464,3,1,10008,296.91752577319585,,,,,,,,,,,
-6.41094865,65536,0.0,13,2,4740,300.0,10,-0.007493171840906143,-0.24548017978668213,0.0039369124,-5.690854379534722,0.001,0.2,1.004265546798706,-0.0012948647903613165,0.02509765625,0.0019912238708116093
-5.56579292,98304,0.01,24,3,4037,299.85,20,-0.012453732080757618,0.7673614621162415,0.007393644,-5.675797342881561,0.001,0.2,1.0008585453033447,-0.006691613151360798,0.087994384765625,0.0004916522490489683
-3.96233921,131072,0.01,34,4,3797,297.01,30,-0.020464656874537468,0.953407883644104,0.013276406,-5.6543870124034585,0.001,0.2,0.9939302206039429,-0.0173293217747414,0.191729736328125,0.0001898015489743443
-3.2930866000000005,163840,0.05,44,5,3672,291.23,40,-0.006105802021920681,0.9564975500106812,0.016614689,-5.620070479810238,0.001,0.2,0.9865788817405701,-0.01946288499111688,0.2312530517578125,0.00013858794964534128
-2.71762601,196608,0.0,54,6,3582,300.0,50,-0.00466544646769762,0.9673353433609009,0.01492239,-5.576611065305769,0.001,0.2,0.9783583879470825,-0.017383680706734593,0.1935089111328125,0.00013232659859809814
-2.4942655700000005,229376,0.02,64,7,3534,294.02,60,-0.008381232619285583,0.9496153593063354,0.011699888,-5.556238798052073,0.001,0.2,0.9771816730499268,-0.01183158550202279,0.15233154296875,0.00011819093178999651
-2.1181958599999997,262144,0.03,75,8,3489,295.95,70,-0.028277449309825897,0.9341505765914917,0.013446817,-5.541161309834569,0.001,0.2,0.9665495157241821,-0.011586479817151486,0.1716278076171875,0.00011621156966512558
-2.028483,294912,0.04,85,9,3456,290.16,80,0.03527484089136124,0.869276762008667,0.0150044,-5.47456552349031,0.001,0.2,0.951779842376709,-0.010603178964083781,0.195892333984375,0.0008998189624840336
-1.5187171800000003,327680,0.05,95,10,3422,287.71,90,-0.02784683369100094,0.9104301929473877,0.02223007,-5.452739612665027,0.001,0.2,0.9476590156555176,-0.004453398578971246,0.1848968505859375,0.00019630863507771323
