train/learning_rate,train/n_updates,train/ent_coef,time/time_elapsed,train/critic_loss,train/ent_coef_loss,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/episodes,rollout/ep_len_mean,train/actor_loss
,,,450,,,86400,191,0.0,0.0,288,300.0,
0.0003,91088,4.2862803411480854e-05,475,2.5621905663797406e-06,-0.857722545042634,91200,191,0.0,0.0,292,300.0,-0.5981408543884754
,,,475,,,91200,191,0.0,0.0,296,300.0,
,,,475,,,91200,191,0.0,0.0,300,300.0,
,,,475,,,91200,191,0.0,0.0,304,300.0,
0.0003,95888,5.0333248736933456e-05,499,2.2263921692911026e-06,-10.616387844085693,96000,192,0.0,0.0,308,300.0,-0.47662960924208164
,,,499,,,96000,192,0.0,0.0,312,300.0,
,,,499,,,96000,192,0.0,0.0,316,300.0,
,,,499,,,96000,192,0.0,0.0,320,300.0,
0.0003,100688,3.065248188249825e-05,525,1.8870326741193821e-06,0.8281235992908478,100800,191,0.0,0.0,324,300.0,-0.3782112915068865
,,,525,,,100800,191,0.0,0.0,328,300.0,
,,,525,,,100800,191,0.0,0.0,332,300.0,
,,,525,,,100800,191,0.0,0.0,336,300.0,
0.0003,105488,2.2653663336313912e-05,549,3.8076074417858763e-06,1.8312777541577816,105600,192,0.0,0.0,340,300.0,-0.3010723628103733
,,,549,,,105600,192,0.0,0.0,344,300.0,
,,,549,,,105600,192,0.0,0.0,348,300.0,
,,,549,,,105600,192,0.0,0.0,352,300.0,
0.0003,110288,3.0492463679365756e-05,573,3.672755326533661e-06,-11.885344833135605,110400,192,0.0,0.0,356,300.0,-0.24124776478856802
,,,573,,,110400,192,0.0,0.0,360,300.0,
,,,573,,,110400,192,0.0,0.0,364,300.0,
,,,573,,,110400,192,0.0,0.0,368,300.0,
0.0003,115088,2.651292913924408e-05,597,4.871986689636287e-06,-1.9563247095793486,115200,192,0.0,0.0,372,300.0,-0.19835530780255795
,,,597,,,115200,192,0.0,0.0,376,300.0,
,,,597,,,115200,192,0.0,0.0,380,300.0,
,,,597,,,115200,192,0.0,0.0,384,300.0,
0.0003,119888,1.996256662550877e-05,622,4.695709193924813e-06,-2.532012403011322,120000,192,0.0,0.0,388,300.0,-0.1620719851925969
,,,622,,,120000,192,0.0,0.0,392,300.0,
,,,622,,,120000,192,0.0,0.0,396,300.0,
,,,622,,,120000,192,0.0,0.0,400,300.0,
0.0003,124688,2.1575744312940515e-05,647,8.914832989148636e-06,-2.51436734944582,124800,192,0.0,0.0,404,300.0,-0.1367342732846737
,,,647,,,124800,192,0.0,0.0,408,300.0,
,,,647,,,124800,192,0.0,0.0,412,300.0,
,,,647,,,124800,192,0.0,0.0,416,300.0,
0.0003,129488,1.9243379711042508e-05,671,1.1011330457222357e-05,14.950123846530914,129600,192,0.01,0.01,420,297.01,-0.11933644022792578
