rollout/ep_len_mean,time/episodes,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef
95.94,292,28800,32,-21.065339790000003,886,0.05,1174,-8.772262573242188,0.001,0.021404683589935303,-7.866058349609375,0.3092384338378906
95.94,296,28816,32,-21.27775838,886,0.05,1175,-8.763580322265625,0.001,0.022868245840072632,-7.89553689956665,0.3089292347431183
95.94,300,28832,32,-21.14981323,886,0.05,1176,-8.775033950805664,0.001,0.03681797906756401,-7.897295951843262,0.3086203634738922
95.94,304,29984,34,-20.782523020000003,878,0.05,1248,-8.97142219543457,0.001,0.02321965992450714,-8.384912490844727,0.2871791124343872
96.04,308,30400,34,-20.27930247,874,0.04,1274,-8.936600685119629,0.001,0.08544138073921204,-8.546258926391602,0.2798084616661072
96.04,312,30416,34,-20.397775290000002,874,0.04,1275,-9.000271797180176,0.001,0.04078243672847748,-8.587589263916016,0.27952873706817627
96.04,316,30432,34,-20.247148310000004,874,0.04,1276,-8.988569259643555,0.001,0.026091182604432106,-8.556174278259277,0.2792492210865021
96.31,320,31280,35,-20.370433,869,0.04,1329,-9.01278018951416,0.001,0.018088899552822113,-8.906486511230469,0.2648298144340515
96.31,324,32000,36,-19.512260809999997,868,0.04,1374,-8.978559494018555,0.001,0.028988638892769814,-9.281076431274414,0.25317174196243286
96.31,328,32016,36,-19.863989760000003,868,0.04,1375,-9.038442611694336,0.001,0.030967913568019867,-9.238243103027344,0.252918541431427
95.32,332,32032,36,-19.47727251,868,0.05,1376,-9.142528533935547,0.001,0.025666577741503716,-9.186838150024414,0.252665638923645
95.32,336,32752,37,-19.51121634,862,0.05,1421,-9.099571228027344,0.001,0.29936137795448303,-9.599376678466797,0.24154819548130035
95.32,340,33600,39,-18.89608388,856,0.05,1474,-9.159429550170898,0.001,0.17898641526699066,-9.909067153930664,0.2290799915790558
96.31,344,33616,39,-19.73472956,856,0.04,1475,-9.264142990112305,0.001,0.027376700192689896,-9.896427154541016,0.22885112464427948
96.31,348,33632,39,-19.5114066,856,0.04,1476,-9.262977600097656,0.001,0.01752351224422455,-9.942544937133789,0.22862254083156586
96.31,352,34352,40,-19.61770422,851,0.04,1521,-9.248499870300293,0.001,0.026355797424912453,-10.254532814025879,0.21856878697872162
95.32,356,35040,41,-19.63199994,845,0.05,1564,-9.292104721069336,0.001,0.03190160542726517,-10.511739730834961,0.20936670899391174
95.32,360,35200,41,-19.645620370000003,845,0.05,1574,-9.324044227600098,0.001,0.07088802754878998,-10.625826835632324,0.2072857767343521
96.31,364,35216,41,-20.131785580000003,845,0.04,1575,-9.295841217041016,0.001,0.29516172409057617,-10.588031768798828,0.20707868039608002
96.31,368,35680,42,-20.07117217,840,0.04,1604,-9.33324909210205,0.001,0.01744954288005829,-10.781106948852539,0.2011631429195404
96.31,372,36640,43,-20.02787023,835,0.04,1664,-9.39506721496582,0.001,0.023079868406057358,-11.156224250793457,0.18944989144802094
96.31,376,36800,44,-20.07007243,834,0.04,1674,-9.329559326171875,0.001,0.3122175931930542,-11.265143394470215,0.18756400048732758
96.31,380,36816,44,-20.26327979,834,0.04,1675,-9.364047050476074,0.001,0.016410712152719498,-11.297739028930664,0.1873764842748642
97.3,384,37280,44,-20.270438889999994,833,0.03,1704,-9.441339492797852,0.001,0.025300689041614532,-11.462298393249512,0.18202000856399536
97.3,388,38240,46,-20.823796110000004,827,0.03,1764,-9.457096099853516,0.001,0.015289306640625,-11.869535446166992,0.17142263054847717
97.3,392,38400,46,-21.288510280000004,825,0.03,1774,-9.504737854003906,0.001,0.030739739537239075,-11.96688461303711,0.16972041130065918
97.3,396,38416,46,-21.34103442,825,0.03,1775,-9.524133682250977,0.001,0.031575676053762436,-11.885430335998535,0.1695510745048523
97.3,400,38880,47,-22.03828731,823,0.03,1804,-9.52404499053955,0.001,0.017630230635404587,-12.096887588500977,0.1647108793258667
97.3,404,39840,48,-22.68232489,818,0.03,1864,-9.52258586883545,0.001,0.02713123895227909,-12.520832061767578,0.1551247388124466
97.3,408,40000,48,-23.556307279999995,817,0.03,1874,-9.557743072509766,0.001,0.01526976190507412,-12.630188941955566,0.15358132123947144
97.3,412,40016,48,-23.621932829999995,817,0.03,1875,-9.554083824157715,0.001,0.12029183655977249,-12.585988998413086,0.15342780947685242
97.3,416,40480,49,-23.57195401,815,0.03,1904,-9.553878784179688,0.001,0.019591884687542915,-12.725725173950195,0.14904582500457764
98.02,420,41440,51,-23.71836365,809,0.02,1964,-9.559772491455078,0.001,0.014226377941668034,-13.175508499145508,0.14037249982357025
98.02,424,41600,51,-24.49909216,808,0.02,1974,-9.592642784118652,0.001,0.02032369002699852,-13.232211112976074,0.13897673785686493
97.03,428,41616,51,-23.999158290000004,808,0.03,1975,-9.557540893554688,0.001,0.01457025296986103,-13.304981231689453,0.1388380080461502
97.03,432,41872,51,-24.151182649999996,808,0.03,1991,-9.637639999389648,0.001,0.04747098311781883,-13.461675643920898,0.13663630187511444
98.02,436,42800,53,-24.227685700000002,803,0.02,2049,-9.59579086303711,0.001,0.01992323063313961,-13.705013275146484,0.1289440393447876
98.02,440,43200,53,-24.759224,801,0.02,2074,-9.657344818115234,0.001,0.017994198948144913,-13.934125900268555,0.1257656365633011
98.02,444,43216,53,-24.719926519999998,801,0.02,2075,-9.659852981567383,0.001,0.023112379014492035,-13.907918930053711,0.1256401538848877
98.02,448,43472,54,-24.51759695,800,0.02,2091,-9.68602180480957,0.001,0.01741407811641693,-14.073017120361328,0.12364881485700607
98.02,452,44400,55,-24.701948849999997,796,0.02,2149,-9.752130508422852,0.001,0.021734964102506638,-14.46795654296875,0.11668571829795837
99.01,456,44800,56,-24.813706879999994,794,0.01,2174,-9.693256378173828,0.001,0.025586210191249847,-14.542356491088867,0.1138063371181488
99.01,460,44816,56,-25.09898903,794,0.01,2175,-9.641853332519531,0.001,0.014570361003279686,-14.637643814086914,0.11369273066520691
98.02,464,44848,56,-24.79067417,794,0.02,2177,-9.695688247680664,0.001,0.023051485419273376,-14.633695602416992,0.11346586048603058
97.26,468,45552,57,-24.518017639999997,791,0.03,2221,-9.672653198242188,0.001,0.037628043442964554,-14.905754089355469,0.10858777165412903
96.27,472,46240,58,-24.255420649999998,791,0.04,2264,-9.755349159240723,0.001,0.0629889965057373,-15.213134765625,0.10402366518974304
95.28,476,46400,58,-24.721173309999998,791,0.05,2274,-9.79554557800293,0.001,0.018304789438843727,-15.214956283569336,0.10298983752727509
95.28,480,46416,58,-24.484889540000005,791,0.05,2275,-9.755353927612305,0.001,0.049164775758981705,-15.284774780273438,0.10288705676794052
95.28,484,46800,59,-24.837279270000003,792,0.05,2299,-9.633572578430176,0.001,0.015073955059051514,-15.457512855529785,0.1004524677991867
95.28,488,47600,60,-24.427320020000003,789,0.05,2349,-9.728218078613281,0.001,0.02087966352701187,-15.696331024169922,0.09556660056114197
95.28,492,48000,60,-24.508596760000003,787,0.05,2374,-9.734359741210938,0.001,0.014419402927160263,-15.819286346435547,0.09321264177560806
95.28,496,48016,60,-24.433688770000003,787,0.05,2375,-9.6967134475708,0.001,0.06841656565666199,-15.89301872253418,0.09311984479427338
95.28,500,48400,61,-23.825799669999995,785,0.05,2399,-9.632866859436035,0.001,0.09615644812583923,-15.977767944335938,0.09091688692569733
95.28,504,49200,62,-23.242720430000006,785,0.05,2449,-9.76206111907959,0.001,0.017758555710315704,-16.33667755126953,0.08649156987667084
94.29,508,49600,63,-22.26555005,786,0.06,2474,-9.662120819091797,0.001,0.0414901003241539,-16.587451934814453,0.08436255156993866
93.3,512,49616,63,-22.49014783,786,0.07,2475,-9.758487701416016,0.001,0.04771249741315842,-16.581350326538086,0.08427847921848297
93.3,516,49648,63,-22.649550360000003,786,0.07,2477,-9.71495246887207,0.001,0.3769717216491699,-16.566898345947266,0.0841105580329895
93.3,520,50352,64,-22.61435164,785,0.07,2521,-9.658683776855469,0.001,0.016023222357034683,-16.91412925720215,0.08049879223108292
93.3,524,51200,65,-22.639501950000003,783,0.07,2574,-9.690778732299805,0.001,0.023300470784306526,-17.11071014404297,0.0763549879193306
94.29,528,51216,65,-22.92569022,783,0.06,2575,-9.652193069458008,0.001,0.01570453681051731,-17.261032104492188,0.07627898454666138
94.29,532,51248,65,-22.86940034,783,0.06,2577,-9.716440200805664,0.001,0.024562738835811615,-17.263723373413086,0.07612718641757965
94.29,536,51952,66,-22.72611707,782,0.06,2621,-9.634522438049316,0.001,0.03993299603462219,-17.541454315185547,0.07286475598812103
94.29,540,52800,67,-22.75703458,780,0.06,2674,-9.799314498901367,0.001,0.021029077470302582,-17.851028442382812,0.06912121176719666
94.29,544,52816,67,-22.58720114,780,0.06,2675,-9.77847671508789,0.001,0.01558610238134861,-17.975038528442383,0.06905236840248108
94.29,548,52848,67,-22.707681660000002,780,0.06,2677,-9.701459884643555,0.001,0.019208908081054688,-17.74173355102539,0.06891481578350067
93.6,552,53312,68,-22.48042757999999,779,0.07,2706,-9.768977165222168,0.001,0.022711360827088356,-18.021902084350586,0.06695236265659332
93.6,556,54272,69,-22.483632880000005,777,0.07,2766,-9.742420196533203,0.001,0.018821660429239273,-18.561695098876953,0.06307129561901093
93.6,560,54416,70,-22.591921319999997,776,0.07,2775,-9.701614379882812,0.001,0.008015250787138939,-18.542617797851562,0.0625080019235611
93.6,564,54432,70,-22.570233350000002,777,0.07,2776,-9.678258895874023,0.001,0.3468814194202423,-18.592491149902344,0.062445785850286484
94.36,568,54880,70,-22.55578638,776,0.06,2804,-9.72353458404541,0.001,0.0122155100107193,-18.66152000427246,0.06072980910539627
95.35,572,55600,71,-23.270557169999996,775,0.05,2849,-9.664499282836914,0.001,0.698606014251709,-19.13194465637207,0.058070845901966095
96.34,576,56016,72,-22.513954200000008,774,0.04,2875,-9.700685501098633,0.001,0.021761823445558548,-19.07054901123047,0.0565895177423954
96.34,580,56032,72,-22.623134160000003,774,0.04,2876,-9.691308975219727,0.001,0.018762633204460144,-19.19670295715332,0.056533291935920715
96.34,584,56480,72,-22.135426550000002,774,0.04,2904,-9.746174812316895,0.001,0.01984511688351631,-19.292400360107422,0.054982587695121765
96.34,588,57200,74,-21.890435429999997,772,0.04,2949,-9.665822982788086,0.001,0.029674412682652473,-19.650619506835938,0.05257776379585266
96.34,592,57616,74,-21.550395369999997,772,0.04,2975,-9.558388710021973,0.001,0.31437885761260986,-19.8128719329834,0.0512361153960228
96.34,596,57632,74,-21.883371120000007,772,0.04,2976,-9.636419296264648,0.001,0.039585359394550323,-19.720069885253906,0.05118526145815849
96.34,600,58080,75,-21.58771187,771,0.04,3004,-9.745407104492188,0.001,0.01580502651631832,-20.021709442138672,0.04977983981370926
96.34,604,58800,76,-21.7511235,770,0.04,3049,-9.554671287536621,0.001,0.305925190448761,-20.18413543701172,0.04760497063398361
96.34,608,59216,76,-22.604937449999998,769,0.04,3075,-9.723464965820312,0.001,0.01338327955454588,-20.33959197998047,0.04639206826686859
96.34,612,59232,77,-22.908935709999994,769,0.04,3076,-9.65022087097168,0.001,0.3477628827095032,-20.530855178833008,0.046346090734004974
97.33,616,59600,77,-22.711419050000003,769,0.03,3099,-9.662144660949707,0.001,0.06518144905567169,-20.575157165527344,0.045301832258701324
97.33,620,60096,78,-23.025006340000004,768,0.03,3130,-9.695930480957031,0.001,0.02133895643055439,-20.722990036010742,0.043931663036346436
97.33,624,60816,79,-23.168940720000002,766,0.03,3175,-9.622542381286621,0.001,0.014772811904549599,-21.06850814819336,0.042015496641397476
97.33,628,60832,79,-23.018905009999997,766,0.03,3176,-9.541675567626953,0.001,0.019807275384664536,-20.850223541259766,0.041973814368247986
96.34,632,61072,79,-22.966497420000007,766,0.04,3191,-9.60316276550293,0.001,0.013132719323039055,-21.070228576660156,0.041353464126586914
96.34,636,61552,80,-22.981804949999997,765,0.04,3221,-9.674262046813965,0.001,0.35581493377685547,-21.222463607788086,0.04014263674616814
96.34,640,62400,81,-22.636405829999998,765,0.04,3274,-9.712198257446289,0.001,0.3662678599357605,-21.648574829101562,0.038093697279691696
96.34,644,62416,81,-21.93999117,765,0.04,3275,-9.592326164245605,0.001,0.028250303119421005,-21.74945831298828,0.038056060671806335
96.34,648,62672,81,-22.038624369999997,764,0.04,3291,-9.56021785736084,0.001,0.3351282477378845,-21.701623916625977,0.037459660321474075
96.04,652,62912,82,-21.84305194,764,0.04,3306,-9.606285095214844,0.001,0.01017848215997219,-21.867576599121094,0.036908600479364395
96.04,656,63872,83,-22.542805819999998,763,0.04,3366,-9.479218482971191,0.001,0.3415721654891968,-22.429080963134766,0.034779779613018036
96.04,660,64016,83,-22.54973287,762,0.04,3375,-9.460034370422363,0.001,0.34424299001693726,-22.44535255432129,0.034470293670892715
97.03,664,64048,83,-22.056840760000004,762,0.03,3377,-9.638591766357422,0.001,0.01764283888041973,-22.38274383544922,0.03440186753869057
97.03,668,64512,84,-22.48818589,763,0.03,3406,-9.559175491333008,0.001,0.35721907019615173,-22.43124771118164,0.0334281250834465
97.03,672,65472,85,-22.264625459999998,762,0.03,3466,-9.536823272705078,0.001,0.01790686696767807,-22.823196411132812,0.03150825574994087
97.03,676,65616,86,-22.326855230000007,762,0.03,3475,-9.527006149291992,0.001,0.01094056200236082,-22.928855895996094,0.031229503452777863
97.03,680,65648,86,-22.245631640000006,762,0.03,3477,-9.537510871887207,0.001,0.01794542744755745,-22.787893295288086,0.03116779401898384
97.03,684,66112,86,-22.37492599,762,0.03,3506,-9.53171157836914,0.001,0.011033955961465836,-23.149494171142578,0.03028690814971924
97.03,688,67072,88,-22.718949119999998,760,0.03,3566,-9.400067329406738,0.001,0.35258519649505615,-23.326505661010742,0.028550637885928154
97.03,692,67216,88,-22.479331070000004,760,0.03,3575,-9.465177536010742,0.001,0.01791653409600258,-23.250133514404297,0.0282985158264637
97.03,696,67248,88,-22.258174370000003,760,0.03,3577,-9.468820571899414,0.001,0.021342286840081215,-23.147464752197266,0.028242936357855797
96.04,700,67696,89,-22.18966222,760,0.04,3605,-9.56606388092041,0.001,0.02386256493628025,-23.402118682861328,0.02747594751417637
96.04,704,68400,90,-22.072249769999996,758,0.04,3649,-9.499505996704102,0.001,0.007412182167172432,-23.741294860839844,0.026314975693821907
96.49,708,68816,90,-20.703367250000007,757,0.04,3675,-9.509149551391602,0.001,0.009182188659906387,-23.827945709228516,0.025655556470155716
95.5,712,68832,90,-20.40187368,757,0.05,3676,-9.50419807434082,0.001,0.014418425969779491,-24.024925231933594,0.025630563497543335
94.58,716,68944,91,-20.530883550000002,757,0.06,3683,-9.473011016845703,0.001,0.0133736003190279,-24.044147491455078,0.02545582503080368
94.58,720,69552,91,-20.25373543,756,0.06,3721,-9.545732498168945,0.001,0.010737685486674309,-24.21578598022461,0.02452736534178257
94.58,724,70272,92,-19.73819058,756,0.06,3766,-9.377130508422852,0.001,0.010199625045061111,-23.858375549316406,0.023470057174563408
94.58,728,70432,93,-19.764612979999995,756,0.06,3776,-9.368368148803711,0.001,0.013224814087152481,-24.2949161529541,0.02324300818145275
94.58,732,70448,93,-19.753516759999997,756,0.06,3777,-9.385614395141602,0.001,0.015951169654726982,-24.18189811706543,0.023220404982566833
94.58,736,70896,93,-19.55221549,755,0.06,3805,-9.295427322387695,0.001,0.009003075771033764,-24.647985458374023,0.02259528636932373
94.58,740,71648,94,-19.885965719999998,754,0.06,3852,-9.34775161743164,0.001,0.33382880687713623,-24.72149658203125,0.021583227440714836
94.58,744,72032,95,-20.145368719999997,754,0.06,3876,-9.339926719665527,0.001,0.021017810329794884,-24.40325164794922,0.021086575463414192
94.58,748,72048,95,-20.21947623,754,0.06,3877,-9.385623931884766,0.001,0.024632172659039497,-24.366825103759766,0.02106628008186817
95.57,752,72496,96,-20.67866257,754,0.05,3905,-9.26350212097168,0.001,0.022885477170348167,-24.907154083251953,0.020498426631093025
95.57,756,73248,97,-20.342042040000003,754,0.05,3952,-9.308170318603516,0.001,0.019148757681250572,-25.426170349121094,0.019593659788370132
95.57,760,73632,97,-20.31774919,755,0.05,3976,-9.287420272827148,0.001,0.015268898569047451,-25.7176513671875,0.019142035394906998
95.57,764,73648,97,-20.25585972,755,0.05,3977,-9.350506782531738,0.001,0.013812275603413582,-25.3315372467041,0.019123440608382225
95.57,768,74096,98,-19.824571310000003,754,0.05,4005,-9.317037582397461,0.001,0.30948108434677124,-25.227306365966797,0.01861252821981907
93.59,772,74496,98,-19.22461548,754,0.07,4030,-9.330793380737305,0.001,0.011507715098559856,-25.085981369018555,0.01816822774708271
93.59,776,75200,99,-19.136367000000003,754,0.07,4074,-9.333550453186035,0.001,0.01454361341893673,-25.589702606201172,0.017414579167962074
93.59,780,75232,99,-19.13922654,754,0.07,4076,-9.210147857666016,0.001,0.03165996074676514,-25.534408569335938,0.01738094910979271
93.59,784,75488,100,-19.23954204,754,0.07,4092,-9.202634811401367,0.001,0.01611177623271942,-25.730846405029297,0.01711658388376236
93.59,788,76096,100,-19.056662040000003,754,0.07,4130,-9.25320053100586,0.001,0.011035263538360596,-26.364059448242188,0.016502156853675842
93.59,792,76800,101,-19.449410909999997,753,0.07,4174,-9.262138366699219,0.001,0.012891208752989769,-26.17491912841797,0.01580551080405712
93.59,796,76832,101,-19.453713329999996,753,0.07,4176,-9.129554748535156,0.001,0.030538197606801987,-25.800994873046875,0.01577465608716011
94.58,800,77088,102,-20.29804819,753,0.06,4192,-9.149378776550293,0.001,0.022958073765039444,-26.031158447265625,0.015531152486801147
94.58,804,77696,103,-20.4928869,753,0.06,4230,-9.125720024108887,0.001,0.310811311006546,-26.473793029785156,0.014972837641835213
95.12,808,78400,104,-20.733147950000003,752,0.05,4274,-9.225238800048828,0.001,0.01182924211025238,-26.241840362548828,0.014359639957547188
95.12,812,78432,104,-20.6226116,752,0.05,4276,-9.19332504272461,0.001,0.007284183986485004,-26.558273315429688,0.014332270249724388
97.03,816,78688,104,-21.26768058,752,0.03,4292,-9.110897064208984,0.001,0.3154618740081787,-25.961210250854492,0.014114994555711746
97.03,820,79296,105,-21.4205412,753,0.03,4330,-9.10015869140625,0.001,0.03676819056272507,-25.512405395507812,0.013620208017528057
97.03,824,80000,106,-21.004358970000002,752,0.03,4374,-9.129114151000977,0.001,0.023967349901795387,-26.108678817749023,0.013066742569208145
98.02,828,80032,106,-21.249191010000004,752,0.02,4376,-9.096824645996094,0.001,0.016620375216007233,-26.814369201660156,0.013042153790593147
98.02,832,80288,106,-20.844836230000002,751,0.02,4392,-9.139669418334961,0.001,0.30561214685440063,-26.904212951660156,0.012845618650317192
98.02,836,80896,107,-21.10365754,751,0.02,4430,-9.161515235900879,0.001,0.019968274980783463,-26.992197036743164,0.012394453398883343
98.02,840,81600,108,-20.817031139999997,751,0.02,4474,-8.99795150756836,0.001,0.011193279176950455,-26.581233978271484,0.011884775944054127
98.02,844,81632,108,-20.78206974,751,0.02,4476,-9.119729042053223,0.001,0.019600246101617813,-26.557388305664062,0.011862434446811676
98.02,848,81888,108,-20.83140697,751,0.02,4492,-9.055235862731934,0.001,0.040629319846630096,-26.665510177612305,0.011685655452311039
98.02,852,82496,109,-20.594749489999998,752,0.02,4530,-9.048638343811035,0.001,0.3032956123352051,-25.770458221435547,0.01127576269209385
98.02,856,83200,110,-20.140720740000003,751,0.02,4574,-9.030170440673828,0.001,0.01681424304842949,-27.880294799804688,0.01082546915858984
98.02,860,83232,110,-20.22275414,751,0.02,4576,-9.116214752197266,0.001,0.02034265547990799,-27.325958251953125,0.010805108584463596
98.02,864,83488,111,-20.156872149999998,751,0.02,4592,-9.018192291259766,0.001,0.01596820540726185,-26.936546325683594,0.010643770918250084
98.02,868,84096,111,-19.93641262,751,0.02,4630,-9.015727996826172,0.001,0.05086026340723038,-27.75450325012207,0.010274676606059074
100.0,872,84800,112,-20.11000144,751,0.0,4674,-8.96096134185791,0.001,0.00876888819038868,-28.457599639892578,0.00986167136579752
100.0,876,84832,112,-19.90015122,751,0.0,4676,-8.986485481262207,0.001,0.015206084586679935,-27.849430084228516,0.00984332524240017
100.0,880,85088,113,-19.8665862,751,0.0,4692,-8.957659721374512,0.001,0.010157612152397633,-24.19839859008789,0.009699253365397453
