2026-04-01 13:22:54 | Training started | expert_reward_mean=nan
2026-04-01 13:22:54 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-01 13:24:11 | 53 | 641.6667 | 0.7276 | 1.2538 | 0.4341 | 0.8196 | 666.0000
2026-04-01 13:24:12 | 54 | 498.3333 | 0.8009 | 1.0738 | 0.4167 | 0.6572 | 499.0000
2026-04-01 13:24:14 | 55 | 417.5000 | 0.7962 | 1.2986 | 0.4006 | 0.8980 | 755.5000
2026-04-01 13:24:16 | 56 | 646.0000 | 0.6946 | 0.8314 | 0.3839 | 0.4474 | 583.0000
2026-04-01 13:24:17 | 57 | 601.0000 | 0.6739 | 0.9281 | 0.3633 | 0.5648 | 648.3333
2026-04-01 13:24:19 | 58 | 565.6667 | 0.7743 | 0.9191 | 0.3521 | 0.5670 | 863.5000
2026-04-01 13:24:20 | 59 | 464.0000 | 1.0450 | 1.2477 | 0.3388 | 0.9089 | 796.0000
2026-04-01 13:24:22 | 60 | 484.0000 | 0.8754 | 1.3457 | 0.3239 | 1.0218 | 469.3333
2026-04-01 13:24:23 | 61 | 517.0000 | 0.8669 | 1.4729 | 0.3266 | 1.1463 | 430.7500
2026-04-01 13:24:25 | 62 | 829.0000 | 0.9091 | 1.5495 | 0.3167 | 1.2329 | 436.5000
2026-04-01 13:24:26 | 63 | 440.7500 | 1.1368 | 1.4592 | 0.3227 | 1.1365 | 435.7500
2026-04-01 13:24:28 | 64 | 464.0000 | 1.0301 | 1.5978 | 0.3347 | 1.2631 | 497.6667
2026-04-01 13:24:29 | 65 | 450.3333 | 1.0391 | 1.5042 | 0.3552 | 1.1490 | 354.0000
2026-04-01 13:24:31 | 66 | 422.2500 | 1.0381 | 1.6333 | 0.3753 | 1.2580 | 442.2500
2026-04-01 13:24:32 | 67 | 409.2500 | 0.9757 | 1.4515 | 0.3985 | 1.0530 | 601.3333
2026-04-01 13:24:33 | 68 | 497.2500 | 1.2952 | 1.5978 | 0.4244 | 1.1734 | 451.0000
2026-04-01 13:24:35 | 69 | 429.2500 | 1.5256 | 1.5628 | 0.4711 | 1.0917 | 407.2500
2026-04-01 13:24:36 | 70 | 450.7500 | 1.4286 | 1.5736 | 0.4887 | 1.0849 | 473.7500
2026-04-01 13:24:38 | 71 | 468.7500 | 1.5960 | 1.6617 | 0.5336 | 1.1282 | 533.6667
2026-04-01 13:24:39 | 72 | 528.3333 | 1.7066 | 1.5783 | 0.5608 | 1.0176 | 549.3333
2026-04-01 13:24:40 | 73 | 489.2500 | 1.9178 | 1.7093 | 0.5931 | 1.1163 | 487.2500
2026-04-01 13:24:42 | 74 | 511.6667 | 1.4253 | 1.6636 | 0.6393 | 1.0242 | 549.0000
2026-04-01 13:24:43 | 75 | 525.0000 | 1.5347 | 1.6920 | 0.6636 | 1.0284 | 546.3333
2026-04-01 13:24:45 | 76 | 553.3333 | 1.4855 | 1.8307 | 0.6886 | 1.1420 | 654.3333
2026-04-01 13:24:47 | 77 | 663.0000 | 1.5197 | 1.8562 | 0.7177 | 1.1385 | 928.5000
2026-04-01 13:24:48 | 78 | 881.5000 | 1.3504 | 1.9021 | 0.7320 | 1.1701 | 1056.0000
2026-04-01 13:24:51 | 79 | 907.0000 | 1.4797 | 1.9850 | 0.7603 | 1.2246 | 0.0000
2026-04-01 13:24:54 | 80 | nan | 1.3209 | 1.8162 | 0.7780 | 1.0382 | 1279.0000
2026-04-01 13:24:56 | 81 | 1131.0000 | 1.2616 | 1.8910 | 0.7954 | 1.0955 | 0.0000
2026-04-01 13:24:58 | 82 | 1015.0000 | 1.4230 | 1.7955 | 0.8092 | 0.9863 | 1856.0000
2026-04-01 13:25:02 | 83 | nan | 1.2688 | 1.6819 | 0.8260 | 0.8559 | 1314.0000
2026-04-01 13:25:04 | 84 | 1568.0000 | 1.5404 | 1.7438 | 0.8296 | 0.9143 | 0.0000
2026-04-01 13:25:08 | 85 | nan | 1.9110 | 1.7000 | 0.8491 | 0.8509 | 0.0000
2026-04-01 13:25:11 | 86 | nan | 1.7549 | 1.5790 | 0.8633 | 0.7157 | 1668.0000
2026-04-01 13:25:15 | 87 | nan | 1.4854 | 1.2085 | 0.8668 | 0.3416 | 213.6667
2026-04-01 13:25:16 | 88 | 218.5556 | 1.6076 | 1.2210 | 0.8646 | 0.3564 | 242.5000
2026-04-01 13:25:17 | 89 | 220.3333 | 1.2704 | 1.5200 | 0.8572 | 0.6628 | 273.0000
2026-04-01 13:25:18 | 90 | 275.0000 | 1.3350 | 1.2224 | 0.8368 | 0.3856 | 262.4286
2026-04-01 13:25:20 | 91 | 248.5714 | 1.1009 | 1.2176 | 0.8138 | 0.4038 | 308.8333
2026-04-01 13:25:21 | 92 | 265.0000 | 1.3411 | 1.2053 | 0.7934 | 0.4119 | 299.3333
2026-04-01 13:25:22 | 93 | 265.0000 | 1.1895 | 1.3227 | 0.7679 | 0.5548 | 250.2500
2026-04-01 13:25:23 | 94 | 281.5714 | 1.1949 | 1.1709 | 0.7397 | 0.4312 | 279.7143
2026-04-01 13:25:24 | 95 | 281.1429 | 0.9363 | 1.1449 | 0.7094 | 0.4354 | 281.5714
2026-04-01 13:25:26 | 96 | 293.8333 | 0.8000 | 1.1342 | 0.6837 | 0.4504 | 284.8571
2026-04-01 13:25:27 | 97 | 273.8571 | 0.7513 | 1.1252 | 0.6558 | 0.4694 | 281.0000
2026-04-01 13:25:28 | 98 | 265.4286 | 0.6636 | 1.4442 | 0.6281 | 0.8161 | 0.0000
2026-04-01 13:25:29 | 99 | 270.8571 | 0.6759 | 1.1077 | 0.6032 | 0.5045 | 334.2000
2026-04-01 13:25:30 | 100 | 232.3750 | 0.8930 | 1.0933 | 0.5778 | 0.5155 | 344.8000
2026-04-01 13:25:32 | 101 | 266.8000 | 0.8852 | 1.4777 | 0.5590 | 0.9188 | 176.0000
2026-04-01 13:25:34 | 102 | 276.5000 | 0.8998 | 1.0101 | 0.5372 | 0.4729 | 285.1429
2026-04-01 13:25:36 | 103 | 294.2500 | 0.8714 | 1.5160 | 0.5201 | 0.9959 | 0.0000
2026-04-01 13:25:37 | 104 | 337.3333 | 0.8780 | 0.9695 | 0.4996 | 0.4700 | 300.8333
2026-04-01 13:25:39 | 105 | 457.5000 | 0.9572 | 1.0377 | 0.4928 | 0.5448 | 287.8000
2026-04-01 13:25:41 | 106 | 277.5000 | 0.8777 | 1.5917 | 0.4805 | 1.1112 | 0.0000
2026-04-01 13:25:43 | 107 | 467.0000 | 0.8779 | 1.6023 | 0.4701 | 1.1322 | 0.0000
2026-04-01 13:25:47 | 108 | nan | 0.7777 | 0.9292 | 0.4661 | 0.4631 | 209.8889
2026-04-01 13:25:49 | 109 | 248.5000 | 0.7331 | 0.9157 | 0.4608 | 0.4549 | 217.6667
2026-04-01 13:25:50 | 110 | 207.6667 | 0.5576 | 0.9019 | 0.4545 | 0.4474 | 213.6667
2026-04-01 13:25:51 | 111 | 247.2500 | 0.6809 | 1.6468 | 0.4437 | 1.2031 | 0.0000
2026-04-01 13:25:53 | 112 | 212.0000 | 0.5451 | 0.8222 | 0.4394 | 0.3828 | 300.3333
2026-04-01 13:25:55 | 113 | 499.5000 | 0.6214 | 0.7784 | 0.4309 | 0.3474 | 281.3333
2026-04-01 13:25:56 | 114 | 340.2000 | 0.5358 | 0.6603 | 0.4191 | 0.2412 | 0.0000
2026-04-01 13:25:59 | 115 | nan | 0.8147 | 0.6569 | 0.4120 | 0.2449 | 0.0000
2026-04-01 13:26:03 | 116 | nan | 0.8010 | 0.6262 | 0.3927 | 0.2334 | 0.0000
2026-04-01 13:26:06 | 117 | nan | 0.5760 | 0.6151 | 0.3794 | 0.2357 | 1355.0000
2026-04-01 13:26:10 | 118 | nan | 1.1828 | 0.5826 | 0.3627 | 0.2199 | 1746.0000
2026-04-01 13:26:13 | 119 | nan | 1.7179 | 0.6450 | 0.3458 | 0.2992 | 19.4286
2026-04-01 13:26:16 | 120 | 219.2500 | 1.1219 | 0.5213 | 0.3312 | 0.1901 | 0.0000
2026-04-01 13:26:19 | 121 | nan | 0.6619 | 0.4966 | 0.3120 | 0.1846 | 0.0000
2026-04-01 13:26:23 | 122 | nan | 0.9057 | 0.8193 | 0.2967 | 0.5225 | 30.6190
2026-04-01 13:26:24 | 123 | 31.5263 | 0.8810 | 0.4752 | 0.2833 | 0.1919 | 42.0000
2026-04-01 13:26:27 | 124 | 70.0000 | 0.8219 | 0.4315 | 0.2695 | 0.1620 | 0.0000
2026-04-01 13:26:29 | 125 | 1260.0000 | 0.6453 | 0.4060 | 0.2539 | 0.1521 | 0.0000
2026-04-01 13:26:32 | 126 | 146.0000 | 0.5739 | 0.3860 | 0.2376 | 0.1485 | 0.0000
2026-04-01 13:26:36 | 127 | nan | 2.3184 | 0.3624 | 0.2248 | 0.1376 | 0.0000
2026-04-01 13:26:39 | 128 | nan | 0.7607 | 0.3506 | 0.2112 | 0.1393 | 0.0000
2026-04-01 13:26:43 | 129 | nan | 2.7147 | 0.3251 | 0.2004 | 0.1247 | 0.0000
2026-04-01 13:26:45 | 130 | 941.0000 | 3.6000 | 0.3025 | 0.1858 | 0.1167 | 0.0000
