2026-04-02 14:50:31 | Training started | num_expert_samples=5000
2026-04-02 14:50:31 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 14:52:36 | Training started | num_expert_samples=5000
2026-04-02 14:52:36 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 14:57:41 | Training started | num_expert_samples=5000
2026-04-02 14:57:41 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 15:07:18 | 50 | -46.9110 | 3.4795 | 1.1465 | 0.5747 | 0.5718 | -54.1485
2026-04-02 15:07:29 | 51 | -52.3971 | 3.4751 | 1.1555 | 0.5771 | 0.5784 | -49.6428
2026-04-02 15:07:41 | 52 | -55.5322 | 3.4792 | 1.1351 | 0.5792 | 0.5559 | -55.5708
2026-04-02 15:07:52 | 53 | -56.8300 | 3.4765 | 1.1183 | 0.5646 | 0.5537 | -50.6855
2026-04-02 15:08:03 | 54 | -50.8926 | 3.4587 | 1.0948 | 0.5532 | 0.5416 | -53.6200
2026-04-02 15:08:15 | 55 | -58.0676 | 3.4683 | 1.1241 | 0.5632 | 0.5609 | -47.1834
2026-04-02 15:08:26 | 56 | -50.4204 | 3.4736 | 1.0620 | 0.5560 | 0.5060 | -57.5911
2026-04-02 15:08:37 | 57 | -44.0273 | 3.4704 | 1.0760 | 0.5518 | 0.5242 | -53.5963
2026-04-02 15:08:49 | 58 | -50.2685 | 3.4656 | 1.0710 | 0.5499 | 0.5211 | -54.3985
2026-04-02 15:09:00 | 59 | -46.1380 | 3.4523 | 1.0353 | 0.5344 | 0.5010 | -54.4698
2026-04-02 15:09:12 | 60 | -53.0637 | 3.4544 | 1.0234 | 0.5244 | 0.4990 | -63.3711
2026-04-02 15:09:23 | 61 | -44.0592 | 3.4623 | 1.0886 | 0.5333 | 0.5553 | -49.1415
2026-04-02 15:09:34 | 62 | -59.1812 | 3.4663 | 1.0833 | 0.5299 | 0.5534 | -49.7004
2026-04-02 15:09:46 | 63 | -52.3404 | 3.4631 | 0.9959 | 0.5199 | 0.4760 | -56.9893
2026-04-02 15:09:57 | 64 | -52.9387 | 3.4534 | 1.0647 | 0.5035 | 0.5612 | -48.1186
2026-04-02 15:18:47 | Training started | num_expert_samples=5000
2026-04-02 15:18:47 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 15:18:59 | 1 | -103.7716 | 4.1865 | 1.3696 | 0.6490 | 0.7205 | -100.6451
2026-04-02 15:19:11 | 2 | -99.5293 | 4.1558 | 1.3622 | 0.6457 | 0.7165 | -97.1413
2026-04-02 15:19:20 | Training started | num_expert_samples=5000
2026-04-02 15:19:20 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 15:19:32 | 1 | -115.6608 | 4.2331 | 1.3709 | 0.6800 | 0.6909 | -114.7605
2026-04-02 15:24:27 | Training started | num_expert_samples=5000
2026-04-02 15:24:27 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 15:24:40 | 1 | -116.6019 | 4.3418 | 1.3775 | 0.6321 | 0.7455 | -121.0351
2026-04-02 15:25:40 | Training started | num_expert_samples=5000
