rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/success_rate,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/std,train/value_loss,train/explained_variance,train/loss,train/clip_range,train/approx_kl,train/entropy_loss
-37.80948692,11,2900,0.0,1,100.0,32768,,,,,,,,,,,
-38.449802500000004,31,2111,0.0,2,100.0,65536,-0.006462598318557866,0.1004791259765625,10,0.001,0.9961697459220886,0.14163217794039157,0.01693260669708252,-0.017740868031978607,0.2,0.012019126,-5.664413486048579
-37.01458413,51,1919,0.0,3,100.0,98304,-0.01612489499084404,0.1843353271484375,20,0.001,0.9875065088272095,0.012647995294355497,0.6175899505615234,-0.03717220574617386,0.2,0.018945875,-5.639992331899703
-35.65749734999999,70,1868,0.0,4,100.0,131072,-0.02134498177365458,0.259796142578125,30,0.001,0.9815114736557007,0.008769260163535363,0.8320665210485458,-0.010314581915736198,0.2,0.025452834,-5.604975404310972
-35.657927199999996,89,1829,0.0,5,100.0,163840,-0.024461745442840764,0.302947998046875,40,0.001,0.9718157052993774,0.006950399116476547,0.9080318883061409,-0.04644566774368286,0.2,0.032996804,-5.57231613472104
-33.73770078,109,1797,0.0,6,100.0,196608,-0.02323291921047712,0.3440673828125,50,0.001,0.9636510610580444,0.00673939757266453,0.9399125538766384,-0.010473244823515415,0.2,0.04407109,-5.53120044907555
-33.34316423,128,1782,0.0,7,100.0,229376,-0.02467338925744116,0.3668304443359375,60,0.001,0.9521890878677368,0.005493350708934486,0.9510441198945045,-0.042841896414756775,0.2,0.055144794,-5.484216131456196
-32.16453686999999,147,1774,0.0,8,100.0,262144,-0.02012264142267668,0.3945404052734375,70,0.001,0.931854248046875,0.004666349138665283,0.9649972952902317,-0.031314242631196976,0.2,0.06870989,-5.424701211974025
-32.44348536,167,1757,0.0,9,100.0,294912,-0.019276996703229087,0.4317779541015625,80,0.001,0.9133687615394592,0.004147708882533152,0.9670737944543362,-0.05024472996592522,0.2,1.393386,-5.335269431117922
-31.794251579999994,185,1767,0.0,10,100.0,327680,0.11120519381984195,0.4669158935546875,90,0.001,0.8892548084259033,0.003490674575823505,0.9758565407246351,-0.060410916805267334,0.2,3.956962,-5.226580049283802
-30.142008439999998,205,1757,0.0,11,100.0,360448,-0.009757795810583048,0.4194183349609375,100,0.001,0.8735153675079346,0.0023583455158473045,0.9877394018694758,-0.030038947239518166,0.2,0.44633907,-5.142979717347771
-31.015222050000002,224,1748,0.0,12,100.0,393216,-0.03487242028295441,0.4603057861328125,110,0.001,0.8477394580841064,0.0021689044329718855,0.9856240395456553,-0.08278660476207733,0.2,8.946053,-5.023856487777084
-28.34580927,244,1742,0.0,13,100.0,425984,-0.05509494192774582,0.491845703125,120,0.001,0.8169847726821899,0.002459632132763545,0.9560744650661945,-0.058998189866542816,0.2,65.469604,-4.868150380253792
-30.947153599999996,263,1740,0.0,14,100.0,458752,-0.013183389729874762,0.505072021484375,130,0.001,0.7941313982009888,0.001284982726463113,0.9900724235922098,-0.06526203453540802,0.2,12.456062,-4.757934370730072
-27.776439560000004,283,1736,0.0,15,100.0,491520,-0.06393651772814338,0.495819091796875,140,0.001,0.7700496912002563,0.001529283393966807,0.9651660919189453,-0.08818010240793228,0.2,114.27627,-4.607238803431391
-27.68759276,302,1733,0.0,16,100.0,524288,-0.0020706604983388387,0.4621551513671875,150,0.001,0.7575578689575195,0.0010722554192511779,0.9893752317875624,-0.0328274667263031,0.2,7.4722466,-4.521625739522278
-26.977045759999996,322,1725,0.0,17,100.0,557056,0.024026120186863408,0.4711700439453125,160,0.001,0.7414758801460266,0.0009508262745441698,0.9936902769841254,-0.004083600360900164,0.2,4.052133,-4.444912763219326
-26.617331820000004,342,1723,0.0,18,100.0,589824,-0.025828801030547764,0.5131744384765625,170,0.001,0.7219654321670532,0.0007407762053219357,0.9911300297826529,-0.04283556342124939,0.2,16.872406,-4.333366635628044
-26.649973550000006,361,1721,0.0,19,100.0,622592,-0.03752889154229706,0.53216552734375,180,0.001,0.6992217302322388,0.0007602959719378077,0.9833773653954268,-0.07523701339960098,0.2,51.530575,-4.203679652418941
-24.56618454,381,1717,0.0,20,100.0,655360,-0.05313908743319189,0.4788543701171875,190,0.001,0.6764091849327087,0.000950943204890109,0.9632698595523834,-0.06747203320264816,0.2,30.904812,-4.062244899943471
-23.736445049999993,401,1715,0.0,21,100.0,688128,-0.01581019661616665,0.49462890625,200,0.001,0.6648218035697937,0.0005541724809205561,0.9946685093455017,-0.03703136369585991,0.2,21.724167,-3.9790145612787455
-23.06173113000001,420,1716,0.01,22,99.98,720896,-0.0028800089009564543,0.4874176025390625,210,0.001,0.6505369544029236,0.0006804588507435483,0.9939641859382391,-0.029930496588349342,0.2,3.809984,-3.906920181028545
-22.617159469999997,438,1720,0.02,23,99.88,753664,-0.017561934755849506,0.522296142578125,220,0.001,0.6357223987579346,0.0007589490867530912,0.9935613973066211,-0.03708640858530998,0.2,13.608883,-3.78701436156407
-22.65210028,458,1716,0.04,24,99.59,786432,-0.017710514629834508,0.5220611572265625,230,0.001,0.6235295534133911,0.0011151657410124471,0.991239589639008,-0.026104988530278206,0.2,14.220234,-3.702553667547181
