train/ent_coef,time/fps,time/time_elapsed,train/critic_loss,train/ent_coef_loss,rollout/success_rate,train/learning_rate,train/n_updates,time/episodes,rollout/ep_rew_mean,train/actor_loss,time/total_timesteps,rollout/ep_len_mean
0.0013623532140627503,337,14,0.0005162595043657348,-1.2916937544941902,0.0625,0.003,4688,4,-60.9380944375,1.6445167064666748,4800,281.3125
,337,14,,,0.0625,,,8,-60.9380944375,,4800,281.3125
,337,14,,,0.0625,,,12,-60.9380944375,,4800,281.3125
,337,14,,,0.0625,,,16,-60.9380944375,,4800,281.3125
0.0025561489892425016,331,28,0.0020985093360650353,3.3118950240314007,0.03125,0.003,9488,20,-76.20259428125,4.240460127592087,9600,290.65625
,331,28,,,0.03125,,,24,-76.20259428125,,9600,290.65625
,331,28,,,0.03125,,,28,-76.20259428125,,9600,290.65625
,331,28,,,0.03125,,,32,-76.20259428125,,9600,290.65625
0.0022694185900036246,331,43,0.0067422928113956004,-2.46425093524158,0.020833333333333332,0.003,14288,36,-60.833249291666675,4.996364444494247,14400,293.7708333333333
,331,43,,,0.020833333333333332,,,40,-60.833249291666675,,14400,293.7708333333333
,331,43,,,0.020833333333333332,,,44,-60.833249291666675,,14400,293.7708333333333
,331,43,,,0.020833333333333332,,,48,-60.833249291666675,,14400,293.7708333333333
0.0017486412762082182,330,58,0.003154223129968159,2.253400593996048,0.015625,0.003,19088,52,-52.159849484375,5.01475328207016,19200,295.328125
,330,58,,,0.015625,,,56,-52.159849484375,,19200,295.328125
,330,58,,,0.015625,,,60,-52.159849484375,,19200,295.328125
,330,58,,,0.015625,,,64,-52.159849484375,,19200,295.328125
0.0016436301229987293,330,72,0.01030698386603035,-1.0528729781508446,0.037037037037037035,0.003,23888,68,-45.16647808641975,5.209582984447479,24000,292.38271604938274
,330,72,,,0.037037037037037035,,,72,-45.16647808641975,,24000,292.38271604938274
,330,72,,,0.037037037037037035,,,76,-45.16647808641975,,24000,292.38271604938274
,330,72,,,0.037037037037037035,,,80,-45.16647808641975,,24000,292.38271604938274
0.0015462096926057711,330,87,0.009235373581759632,0.3869516346603632,0.030927835051546393,0.003,28688,84,-40.26997916494845,5.487872123718262,28800,293.63917525773195
,330,87,,,0.030927835051546393,,,88,-40.26997916494845,,28800,293.63917525773195
,330,87,,,0.030927835051546393,,,92,-40.26997916494845,,28800,293.63917525773195
,330,87,,,0.030927835051546393,,,96,-40.26997916494845,,28800,293.63917525773195
0.0013921679128543474,330,89,0.00978597515495494,-1.0282269418239594,0.06,0.003,29520,100,-38.883334749999996,5.461285889148712,29632,285.84
0.0016303540687658824,329,96,0.009918812575051561,-0.7870651269331574,0.07,0.003,31744,104,-37.523808349999996,5.468028724193573,31856,283.98
0.0015915406547719613,329,101,0.01495786476880312,0.19679157249629498,0.07,0.003,33488,108,-32.732419969999995,5.223357290029526,33600,283.98
,329,101,,,0.07,,,112,-32.732419969999995,,33600,283.98
0.0015556474318145774,329,104,0.05185814999276772,-0.016347602009773254,0.07,0.003,34256,116,-31.524085220000003,5.2212053835392,34368,283.98
0.001396177991409786,329,111,0.020320316776633263,1.755893537774682,0.07,0.003,36544,120,-28.307289539999996,5.347488105297089,36656,283.98
0.0012816752787330188,329,116,0.011272632458712906,-0.5850429832935333,0.07,0.003,38288,124,-20.486482459999998,5.37587383389473,38400,283.98
,329,116,,,0.07,,,128,-20.486482459999998,,38400,283.98
0.0013110997024341486,329,118,0.00934212442371063,1.027361148968339,0.07,0.003,39056,132,-19.57817464,5.180207714438438,39168,283.98
0.0011769508346333168,329,125,0.02380448632175103,4.775395750999451,0.07,0.003,41344,136,-18.92893573,5.38939568400383,41456,283.98
0.0012931027958984487,328,131,0.013356748677324504,1.128945004194975,0.07,0.003,43088,140,-17.71305677,5.2829912304878235,43200,283.98
,328,131,,,0.07,,,144,-17.71305677,,43200,283.98
0.0014436739002121612,328,133,0.04405113635584712,-0.23129509016871452,0.07,0.003,43856,148,-17.527921940000002,5.3380773067474365,43968,283.98
0.0011563363877939992,328,137,0.013133831263985485,-2.613946530967951,0.08,0.003,44928,152,-16.79533235,5.288529574871063,45040,281.67
0.0012387953393044882,328,146,0.013793825637549162,1.239094888791442,0.08,0.003,47888,156,-15.794237419999996,5.4056399166584015,48000,281.67
,328,146,,,0.08,,,160,-15.794237419999996,,48000,281.67
0.0012375024016364478,328,148,0.014118317136308178,3.5821528919041157,0.08,0.003,48656,164,-15.769420169999998,5.495948404073715,48768,281.67
0.0016290346029563807,327,151,0.03205441718455404,1.3403147980570793,0.06,0.003,49728,168,-15.837356219999998,5.435494303703308,49840,284.85
0.0013136908819433302,327,161,0.05029415216995403,0.7521394658833742,0.06,0.003,52688,172,-15.418058770000002,5.431398034095764,52800,284.85
,327,161,,,0.06,,,176,-15.418058770000002,,52800,284.85
0.001289737323531881,327,163,0.013576608092989773,2.09742633625865,0.06,0.003,53456,180,-15.434784450000002,5.038670122623444,53568,284.85
0.0011633331887423992,327,165,0.12864745664410293,1.7891143634915352,0.07,0.003,54160,184,-14.36195522,5.126565456390381,54272,282.7
0.001107143732951954,326,176,0.01932179951108992,1.0823048539459705,0.08,0.003,57488,188,-14.1398941,5.113074719905853,57600,280.37
,326,176,,,0.08,,,192,-14.1398941,,57600,280.37
0.0011306817032163963,326,176,0.034030909184366465,2.2049528136849403,0.08,0.003,57504,196,-14.132094439999998,5.304439127445221,57616,280.37
