epoch,train_loss,val_loss,action_loss
10,1.0367013612141212,tensor(1.0397),tensor(0.8339)
20,1.0380478834112485,tensor(1.0415),tensor(0.8275)
30,1.037500784918666,tensor(1.0309),tensor(0.8318)
