time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,rollout/success_rate,time/fps,train/entropy_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/learning_rate,train/value_loss
32768,1,0.010309278350515464,296.91752577319585,3,0.010309278350515464,9852,,,,,,,,,,,
65536,2,0.01,297.01,14,0.01,4672,-5.670392649900168,0.9960852861404419,-0.0008098506100395753,-0.14074206352233887,10,0.0036142333,0.2,0.0224853515625,-0.013701354153454304,0.001,7.739028626563282e-05
98304,3,0.0,300.0,24,0.0,4027,-5.633391929510981,0.9883347153663635,-0.0015647504733351525,-0.01956164836883545,20,0.004698077,0.2,0.0378631591796875,-0.01878531463444233,0.001,4.058666977792002e-05
131072,4,0.01,297.01,34,0.01,3788,-5.607452937122434,0.982306182384491,-0.0019624582143478618,0.11165988445281982,30,0.0045962916,0.2,0.0398651123046875,-0.007756285835057497,0.001,3.153151264659315e-06
163840,5,0.01,297.01,44,0.01,3646,-5.580190731678158,0.9751687049865723,-0.0026180238202869075,0.057908594608306885,40,0.0047412748,0.2,0.0452972412109375,0.027436327189207077,0.001,3.174031389382159e-05
196608,6,0.01,297.01,55,0.01,3568,-5.580909687187523,0.9699511528015137,-0.001334189693625376,0.1369437575340271,50,0.004516149,0.2,0.038995361328125,0.0022014339920133352,0.001,3.1053264034348885e-05
229376,7,0.03,291.03,65,0.03,3509,-5.612295191269368,0.9829944372177124,-0.0015520623924203392,0.14458221197128296,60,0.0049970746,0.2,0.0472991943359375,-0.018936941400170326,0.001,3.129694443972375e-05
262144,8,0.0,300.0,75,0.0,3465,-5.6504765884019434,0.9972007274627686,-0.001368808629013074,0.039546191692352295,70,0.004813156,0.2,0.046099853515625,-0.009261557832360268,0.001,9.240180424108791e-05
294912,9,0.03,291.03,85,0.03,3429,-5.691173040121794,1.0084019899368286,-0.0010831654761204845,0.5719811916351318,80,0.004321204,0.2,0.0413055419921875,0.0019071581773459911,0.001,1.612534541440419e-07
327680,10,0.01,297.01,96,0.01,3407,-5.743518294487148,1.017264723777771,-0.00124226676480248,0.05581092834472656,90,0.0045671007,0.2,0.0484375,-0.008403281681239605,0.001,9.207376895894009e-05
360448,11,0.0,300.0,106,0.0,3388,-5.760235501825809,1.0205156803131104,-0.0017703575533232652,0.03158479928970337,100,0.0052036243,0.2,0.0487396240234375,-0.013498889282345772,0.001,3.0759372204870394e-05
393216,12,0.0,300.0,116,0.0,3368,-5.808072226773947,1.028710126876831,-0.00046661319911436296,0.8514494299888611,110,0.0055564456,0.2,0.051336669921875,0.004812055733054876,0.001,6.611449182808253e-08
425984,13,0.0,300.0,126,0.0,3355,-5.902048634644598,1.0609793663024902,1.7987556657317327e-05,0.6999037265777588,120,0.006425743,0.2,0.070684814453125,-0.02317153476178646,0.001,2.5253972660219115e-06
458752,14,0.0,300.0,137,0.0,3339,-6.0028260858729485,1.0839567184448242,0.001670303899300052,0.7081145644187927,130,0.005792154,0.2,0.0572601318359375,0.015348187647759914,0.001,1.458613694697332e-06
