rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/value_loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/std,train/approx_kl,train/loss,train/clip_range
-75.38786082291666,300.0,0.0,3,1,8387,32768,,,,,,,,,,,
-64.98826262000001,300.0,0.0,14,2,4555,65536,0.10668620741753329,-5.646491524670273,10,0.044171142578125,-0.0006600618362426758,-0.002777758285674281,0.001,0.9953006505966187,0.00519606,0.07012534886598587,0.2
-49.676777060000006,293.08,0.03,24,3,4008,98304,0.027232410031137987,-5.624129065033048,20,0.1353668212890625,0.846699595451355,-0.0108464216487846,0.001,0.9835513234138489,0.010074547,0.006624352186918259,0.2
-35.915807130000005,297.34,0.02,34,4,3779,131072,0.038172311438938775,-5.57273371918127,30,0.2244354248046875,0.9519745111465454,-0.02107586831516528,0.001,0.972180962562561,0.015573368,-0.018476882949471474,0.2
-28.769867280000003,296.46,0.02,44,5,3662,163840,0.03448048184536674,-5.510127644240856,40,0.2452484130859375,0.945296049118042,-0.02181238597477204,0.001,0.9593567848205566,0.018470887,-0.035546980798244476,0.2
-26.514992740000004,295.23,0.02,54,6,3582,196608,0.0390277109840099,-5.473909481242299,50,0.1904327392578125,0.9288436770439148,-0.015438218331655661,0.001,0.949908971786499,0.014441817,-0.01248040609061718,0.2
-23.943133309999997,296.34,0.02,65,7,3509,229376,0.02684041560150945,-5.437263853382319,60,0.16627197265625,0.9005472660064697,-0.008351805282927671,0.001,0.9425439834594727,0.018008502,-0.015944741666316986,0.2
-22.446604180000005,297.04,0.02,75,8,3451,262144,0.01964901948399529,-5.389699001424015,70,0.2057861328125,0.9226417541503906,-0.008189166718602791,0.001,0.9356545209884644,0.01755453,-0.022793859243392944,0.2
-18.65315376,299.69,0.01,86,9,3412,294912,0.02789852957544099,-5.3830709690228105,80,0.17476806640625,0.930208146572113,-0.002666319676609419,0.001,0.9322717189788818,0.013102518,-0.007693614810705185,0.2
-15.054522749999999,293.2,0.04,96,10,3379,327680,0.02267142016416983,-5.333111766818911,90,0.186102294921875,0.9505453705787659,-0.007969031795164483,0.001,0.9207350611686707,0.016017187,0.009585254825651646,0.2
-15.995632830000002,288.58,0.05,107,11,3362,360448,0.034711010486398665,-5.2853609100915495,100,0.2008209228515625,0.9165739417076111,-0.006726827327292994,0.001,0.9093257188796997,0.017907914,-0.03080081194639206,0.2
-13.91330894,300.0,0.0,117,12,3346,393216,0.029785112170520732,-5.202372797392309,110,0.241424560546875,0.9714183807373047,-0.009040890443793614,0.001,0.8879467248916626,0.9308187,0.0026252325624227524,0.2
-11.41502136,293.4,0.03,127,13,3331,425984,0.008846083733305931,-5.115635414980352,120,0.234918212890625,0.9748257994651794,-0.013426282124873979,0.001,0.8796731233596802,0.7252026,-0.005104579962790012,0.2
-10.343839619999999,291.94,0.03,138,14,3322,458752,0.018497001326875307,-5.088539374247193,130,0.2357177734375,0.9329832792282104,-0.006203487340280844,0.001,0.8759985566139221,0.019771416,-2.1838117390871048e-05,0.2
-10.449821689999998,297.01,0.01,148,15,3311,491520,0.015073440206936083,-5.026404098886997,140,0.2560699462890625,0.9437211155891418,-0.009558608104362066,0.001,0.8602451086044312,0.31087694,-0.019791044294834137,0.2
-10.9143382,292.35,0.03,158,16,3303,524288,0.014366596364800444,-4.988003096915781,150,0.2572235107421875,0.9614428877830505,-0.0046431333050350075,0.001,0.8511319160461426,0.20511776,0.002872748766094446,0.2
