train/ent_coef_loss,rollout/success_rate,train/actor_loss,train/ent_coef,train/critic_loss,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/n_updates,time/total_timesteps
-0.7212535012513399,0.05,0.07796073210192844,0.00045249129289004486,0.00017194960810229531,0.0003,248,-2.94595335,223,344,287.46,76688,76800
,0.05,,,,,252,-2.94595335,223,344,287.46,,76800
,0.05,,,,,256,-2.94595335,223,344,287.46,,76800
5.454496741294861,0.05,0.13870252761989832,0.00044347194489091635,0.00027652090102492366,0.0003,260,-2.98994305,226,344,287.46,77824,77936
-0.1556302346289158,0.05,0.22496195323765278,0.0005241958097030874,0.0005149539374542655,0.0003,264,-2.8809815799999994,236,344,287.46,81488,81600
,0.05,,,,,268,-2.8809815799999994,236,344,287.46,,81600
,0.05,,,,,272,-2.8809815799999994,236,344,287.46,,81600
-2.1542787551879883,0.05,0.2699971152469516,0.000556011262233369,0.0005556357955356361,0.0003,276,-2.872185009999999,240,344,287.46,82624,82736
-2.9675717875361443,0.05,0.327730281278491,0.0006484040386567358,0.001329581240497646,0.0003,280,-2.88275497,250,344,287.46,86288,86400
,0.05,,,,,284,-2.88275497,250,344,287.46,,86400
,0.05,,,,,288,-2.88275497,250,344,287.46,,86400
-1.2296998780220747,0.06,0.3541570268571377,0.0005733786674682051,0.0017023383697960526,0.0003,292,-2.83319948,253,344,285.11,87328,87440
-1.4741956517100334,0.05,0.3903286028653383,0.0005894293826713692,0.0016602316427452024,0.0003,296,-2.84930462,264,344,288.1,91088,91200
,0.05,,,,,300,-2.84930462,264,344,288.1,,91200
,0.05,,,,,304,-2.84930462,264,344,288.1,,91200
0.4287848547101021,0.05,0.38088103383779526,0.0006129052380856592,0.0013759575376752764,0.0003,308,-2.8640124200000003,267,344,288.1,92128,92240
-0.8945796266198158,0.04,0.2856744574382901,0.0006697799217363354,0.0006882725101604592,0.0003,312,-2.8862400299999997,278,344,290.28,95888,96000
,0.04,,,,,316,-2.8862400299999997,278,344,290.28,,96000
,0.04,,,,,320,-2.8862400299999997,278,344,290.28,,96000
-0.2758985999971628,0.04,0.2574356123805046,0.0006959018755878787,0.0009723907260195119,0.0003,324,-2.8780333800000006,281,344,290.28,96928,97040
0.7154696676880121,0.02,0.13616564741823822,0.0006771897133148741,0.001168960541690467,0.0003,328,-2.8521867000000007,292,344,295.56,100688,100800
,0.02,,,,,332,-2.8521867000000007,292,344,295.56,,100800
,0.02,,,,,336,-2.8521867000000007,292,344,295.56,,100800
1.6473287604749203,0.02,0.12079969164915383,0.0007061028081807308,0.0014658964137197472,0.0003,340,-2.84865755,295,344,295.56,101728,101840
-1.1364927850663662,0.01,-0.04982363770250231,0.0007291061847354285,0.001884945719211828,0.0003,344,-2.91728493,306,344,297.65,105488,105600
,0.01,,,,,348,-2.91728493,306,344,297.65,,105600
,0.01,,,,,352,-2.91728493,306,344,297.65,,105600
-1.885503949597478,0.01,-0.07605322659946978,0.000746559293475002,0.002286391405505128,0.0003,356,-2.9293530899999998,309,344,297.65,106528,106640
1.893880883231759,0.01,-0.143488684669137,0.0008298186512547545,0.0017159690978587605,0.0003,360,-2.84419277,320,344,297.65,110288,110400
,0.01,,,,,364,-2.84419277,320,344,297.65,,110400
,0.01,,,,,368,-2.84419277,320,344,297.65,,110400
-0.5012929122895002,0.01,-0.18007988668978214,0.0008702170453034341,0.002069440080958884,0.0003,372,-2.8804665599999995,323,344,297.65,111328,111440
0.7963941991329193,0.01,-0.284845226444304,0.0010171298126806505,0.00156854103988735,0.0003,376,-2.97995455,334,344,297.65,115088,115200
,0.01,,,,,380,-2.97995455,334,344,297.65,,115200
,0.01,,,,,384,-2.97995455,334,344,297.65,,115200
0.12779496423900127,0.01,-0.3101892825216055,0.001051393846864812,0.0019063973522861488,0.0003,388,-2.9773453800000005,337,344,297.65,116128,116240
0.40904020704329014,0.0,-0.44016859866678715,0.0010404513668618165,0.002165682046324946,0.0003,392,-3.0999720599999994,348,343,300.0,119888,120000
,0.0,,,,,396,-3.0999720599999994,348,343,300.0,,120000
,0.0,,,,,400,-3.0999720599999994,348,343,300.0,,120000
0.046803342178463936,0.0,-0.4759262390434742,0.0010878557150135748,0.0019942031358368695,0.0003,404,-3.1403751499999997,352,343,300.0,120928,121040
-2.401082430034876,0.0,-0.48864978924393654,0.0009368297796754632,0.0028329094784567133,0.0003,408,-3.0377659900000005,363,343,300.0,124688,124800
,0.0,,,,,412,-3.0377659900000005,363,343,300.0,,124800
,0.0,,,,,416,-3.0377659900000005,363,343,300.0,,124800
0.21716618910431862,0.0,-0.525644026696682,0.0008985484710137825,0.0032540158135816455,0.0003,420,-3.0484295600000006,366,343,300.0,125728,125840
-0.5961691848933697,0.0,-0.6432922221720219,0.0009824081789702177,0.0049946718936553225,0.0003,424,-3.0392893599999997,377,343,300.0,129488,129600
,0.0,,,,,428,-3.0392893599999997,377,343,300.0,,129600
,0.0,,,,,432,-3.0392893599999997,377,343,300.0,,129600
0.6222246661782265,0.0,-0.6986531391739845,0.001052602667186875,0.005089904676424339,0.0003,436,-3.0848933399999994,380,343,300.0,130528,130640
-1.1719861682504416,0.0,-1.0695508010685444,0.0014870721352053806,0.011509011907037348,0.0003,440,-3.0498780800000005,391,343,300.0,134288,134400
,0.0,,,,,444,-3.0498780800000005,391,343,300.0,,134400
,0.0,,,,,448,-3.0498780800000005,391,343,300.0,,134400
2.307701600715518,0.0,-1.1411844342947006,0.0014922704503987916,0.00997570133768022,0.0003,452,-3.06100992,394,343,300.0,135328,135440
0.5646777469664812,0.0,-1.4347216561436653,0.0017141931457445025,0.014195242227287963,0.0003,456,-3.1014583900000003,405,343,300.0,139088,139200
,0.0,,,,,460,-3.1014583900000003,405,343,300.0,,139200
,0.0,,,,,464,-3.1014583900000003,405,343,300.0,,139200
1.1197220981121063,0.0,-1.4301044195890427,0.0017083337806980126,0.009519290382741019,0.0003,468,-3.127948139999999,408,343,300.0,140128,140240
1.6278424374759197,0.0,-1.7233998104929924,0.0016343407551175915,0.01081835341756232,0.0003,472,-3.00033699,418,343,300.0,143888,144000
,0.0,,,,,476,-3.00033699,418,343,300.0,,144000
,0.0,,,,,480,-3.00033699,418,343,300.0,,144000
0.8074103109538555,0.0,-1.8512146100401878,0.001606750549399294,0.012448722176486626,0.0003,484,-3.0194868299999995,421,343,300.0,144928,145040
-1.3333084471523762,0.0,-2.0387501567602158,0.0016143716347869486,0.011011672206223011,0.0003,488,-2.83181826,432,343,300.0,148688,148800
,0.0,,,,,492,-2.83181826,432,343,300.0,,148800
,0.0,,,,,496,-2.83181826,432,343,300.0,,148800
-0.7101125959306955,0.0,-2.0762907937169075,0.0016540287033421919,0.009663713775807992,0.0003,500,-2.8030186899999996,435,343,300.0,149728,149840
0.40016508288681507,0.0,-2.142709404230118,0.0014327603930723853,0.014133181713987142,0.0003,504,-2.68436705,446,343,300.0,153488,153600
,0.0,,,,,508,-2.68436705,446,343,300.0,,153600
,0.0,,,,,512,-2.68436705,446,343,300.0,,153600
-1.4008596390485764,0.0,-2.1456987857818604,0.0014677015788038261,0.007674043241422623,0.0003,516,-2.64902467,449,343,300.0,154528,154640
2.2390278540551662,0.01,-2.0225227996706963,0.001285117949009873,0.007141136593418196,0.0003,520,-2.5622013900000002,457,343,298.62,157216,157328
-0.28068651258945465,0.01,-2.1417665630578995,0.0013287880428833887,0.007493508892366663,0.0003,524,-2.50283312,460,343,298.62,158288,158400
,0.01,,,,,528,-2.50283312,460,343,298.62,,158400
-0.6018905378878117,0.01,-2.0626307874917984,0.0013267457907204516,0.007048264000331983,0.0003,532,-2.48351586,460,343,298.62,158304,158416
-1.3110175728797913,0.01,-1.882409282028675,0.0011360649441485293,0.007280233083292842,0.0003,536,-2.43206774,471,343,298.62,162016,162128
