time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/ent_coef_loss
57600,0.0,200.0,276,1006,-50.399981749999995,57,2974,0.001,21.076457977294922,0.05134008824825287,-6.126652240753174,-19.74968719482422
57600,0.0,200.0,280,1006,-50.399981749999995,57,,,,,,
57600,0.0,200.0,284,1006,-50.399981749999995,57,,,,,,
57600,0.0,200.0,288,1006,-50.399981749999995,57,,,,,,
60800,0.0,200.0,292,999,-50.53791386000001,60,3174,0.001,0.005078896414488554,0.042126964777708054,-5.753657341003418,-20.881622314453125
60800,0.0,200.0,296,999,-50.53791386000001,60,,,,,,
60800,0.0,200.0,300,999,-50.53791386000001,60,,,,,,
60800,0.0,200.0,304,999,-50.53791386000001,60,,,,,,
64000,0.01,198.01,308,991,-49.83780502,64,3374,0.001,0.0035504901316016912,0.03460508957505226,-5.546059608459473,-22.474323272705078
64000,0.01,198.01,312,991,-49.83780502,64,,,,,,
64000,0.01,198.01,316,991,-49.83780502,64,,,,,,
64000,0.01,198.01,320,991,-49.83780502,64,,,,,,
67200,0.01,198.01,324,983,-50.397461279999995,68,3574,0.001,0.0022345189936459064,0.02843724749982357,-5.278236389160156,-23.02361488342285
67200,0.01,198.01,328,983,-50.397461279999995,68,,,,,,
67200,0.01,198.01,332,983,-50.397461279999995,68,,,,,,
67200,0.01,198.01,336,983,-50.397461279999995,68,,,,,,
70400,0.01,198.01,340,982,-50.023547310000005,71,3774,0.001,0.0033272504806518555,0.02340494468808174,-5.000335216522217,-24.614356994628906
70400,0.01,198.01,344,982,-50.023547310000005,71,,,,,,
70400,0.01,198.01,348,982,-50.023547310000005,71,,,,,,
70400,0.01,198.01,352,982,-50.023547310000005,71,,,,,,
73600,0.01,198.01,356,980,-48.54807519999999,75,3974,0.001,0.0029475796036422253,0.019254636019468307,-4.697289943695068,-25.095008850097656
73600,0.01,198.01,360,980,-48.54807519999999,75,,,,,,
73600,0.01,198.01,364,980,-48.54807519999999,75,,,,,,
73600,0.01,198.01,368,980,-48.54807519999999,75,,,,,,
76800,0.01,198.01,372,978,-48.805338350000014,78,4174,0.001,0.005732827354222536,0.0159108005464077,-4.577370643615723,-25.274415969848633
76800,0.01,198.01,376,978,-48.805338350000014,78,,,,,,
76800,0.01,198.01,380,978,-48.805338350000014,78,,,,,,
76800,0.01,198.01,384,978,-48.805338350000014,78,,,,,,
80000,0.01,198.01,388,977,-49.099645249999995,81,4374,0.001,0.003599973162636161,0.013153196312487125,-4.259122848510742,-25.338233947753906
80000,0.01,198.01,392,977,-49.099645249999995,81,,,,,,
80000,0.01,198.01,396,977,-49.099645249999995,81,,,,,,
80000,0.01,198.01,400,977,-49.099645249999995,81,,,,,,
83200,0.0,200.0,404,976,-48.90417846,85,4574,0.001,0.0035839667543768883,0.010942719876766205,-4.024641036987305,-24.850385665893555
83200,0.0,200.0,408,976,-48.90417846,85,,,,,,
83200,0.0,200.0,412,976,-48.90417846,85,,,,,,
83200,0.0,200.0,416,976,-48.90417846,85,,,,,,
86400,0.0,200.0,420,975,-48.703702410000005,88,4774,0.001,0.003529099514707923,0.009110691957175732,-3.8466737270355225,-27.05194854736328
86400,0.0,200.0,424,975,-48.703702410000005,88,,,,,,
86400,0.0,200.0,428,975,-48.703702410000005,88,,,,,,
86400,0.0,200.0,432,975,-48.703702410000005,88,,,,,,
89600,0.0,200.0,436,972,-48.52205469000001,92,4974,0.001,0.7871788740158081,0.007591103203594685,-3.811070203781128,-27.1965389251709
